,team,x,y,fgmade
0,Team A,-23.1,3.5,0
1,Team A,0.0,25.1,1
2,Team A,0.5,1.0,1
3,Team A,-5.6,5.2,0
4,Team A,4.0,14.5,1
5,Team A,-13.6,4.0,1
6,Team A,-9.0,7.2,1
7,Team A,-1.2,1.5,1
8,Team A,-9.2,15.3,0
9,Team A,-16.8,20.5,1
10,Team A,0.8,1.8,1
11,Team A,22.3,3.5,0
12,Team A,-13.9,2.1,0
13,Team A,-0.7,1.6,1
14,Team A,11.2,10.3,0
15,Team A,0.6,0.9,1
16,Team A,-13.6,10.1,1
17,Team A,15.2,19.7,1
18,Team A,2.3,26.2,0
19,Team A,21.7,0.6,0
20,Team A,19.2,5.3,0
21,Team A,-16.9,19.7,0
22,Team A,22.5,1.8,1
23,Team A,11.3,-0.5,0
24,Team A,23.5,2.4,0
25,Team A,11.8,23.4,0
26,Team A,10.3,6.1,0
27,Team A,-17.2,19.5,0
28,Team A,-0.5,2.6,1
29,Team A,0.0,-0.5,0
30,Team A,-8.2,23.9,0
31,Team A,1.4,0.9,0
32,Team A,1.9,2.9,0
33,Team A,1.9,0.5,1
34,Team A,-11.7,12.1,0
35,Team A,-5.1,8.4,0
36,Team A,4.1,8.3,0
37,Team A,0.8,0.7,1
38,Team A,-0.2,1.7,0
39,Team A,4.4,4.6,1
40,Team A,0.7,6.6,0
41,Team A,5.1,3.1,1
42,Team A,1.8,1.7,0
43,Team A,3.6,5.0,0
44,Team A,13.1,25.6,0
45,Team A,-1.4,1.2,0
46,Team A,5.5,26.4,0
47,Team A,3.1,25.1,0
48,Team A,-15.9,18.5,0
49,Team A,0.8,1.2,0
50,Team A,-13.0,22.2,0
51,Team A,-7.1,23.4,0
52,Team A,1.1,1.2,1
53,Team A,-12.8,21.3,0
54,Team A,-13.8,14.8,1
55,Team A,-10.6,26.1,0
56,Team A,-1.1,2.8,0
57,Team A,19.0,3.8,0
58,Team A,-0.9,2.0,1
59,Team A,10.3,24.8,0
60,Team A,-13.3,23.0,0
61,Team A,-1.8,12.6,1
62,Team A,-14.9,4.5,0
63,Team A,-8.2,15.8,1
64,Team A,18.7,2.1,1
65,Team A,12.0,16.3,1
66,Team A,-4.0,18.9,0
67,Team A,9.8,6.0,0
68,Team A,13.6,2.7,1
